Number,Year,Date,State,Sublocation,Location,Lat,Long,Description,Source,Type,Rioter Classification,Target Classification,Actions,Recorded # Killed,Recorded # Injured,Persons Named as Rioters,Persons Named as Targets,Note
1,1849,1849/01,California,Dry Diggings,Dry Diggings,38.72751,-120.7998,"Janurary: Three men hanged. One for alleged horse theft. Dry Diggings given the new name of ""Hangtown.""",,,,,,,,,,
2,1849,,Arkansas,Phillips Co.,Phillips Co. AR,34.37981,-90.81906,Burning of enslaved man for allegedly murdering master,"Orville W. Taylor, Negro Slavery on Arkansas (Durham, N.C.: Duke University Press, 1958), 235 as listed in Pfiefer, Roots of Rough Justice.",Racial; Slavery; Vigilante; Law,White; Vigilante,Black; Slave; Alleged Criminal; Alleged Murderer,Lethal Violence; Mutilation,1,,,,PTH
3,1849,1849/05,New York,New York City,NYC,40.720368,-74.001098,"May: Astor Place Riot. Long-time feud between William C. MacReady and Edwin Forrest led to major theater riot. When MacReady attempted to act MacBeth he was not only shouted offstage, but the crowd outside began to riot. Troops were brought in. Fired once over heads, but then had to fire directly into crowd. 22 died, 48 wounded. 50 to 70 police injured. Next night protest against force easily quelled. Some 300 police and 200 state militia involved.","Cook.Armies, p.24-27",Theater,Unknown,Theater; Actor; Legal; Law Officer; Military; Militia,Lethal Violence,22,,Edwin Forrest,William C. MacReady,
4,1849,1849/07,Pennsylvania,Philadelphia,Philadelphia,39.90153,-75.176711,"June: Fire purposefully set so a gang could attack Franklin Hose company on its way to the fire. That night the Franklin Hose company retaliated, attacking the Moyamensing Hose. Shots exchanged, one man killed, 9 or 10 wounded.","Scharf and Wescott, p.691-692",Firefighter,Firefighter; Franklin Hose; Gang,Firefighter; Franklin Hose; Gang,Lethal Violence,1,,,,
5,1849,1849/07,Illinois,Massac Co.,"Massac Co., Illinois",37.240106,-88.724884,July: Flatheads and Regulators fight at Linn Farm. Two flatheads killed and four wounded. One regulator killed and two wounded.,"Eteheson. ""Good Men,"" p.17;Lethal Imagination, p.161",Vigilante; Law; Gang,Vigilante; Regulator (Vigilante); Gang; Flathead,Vigilante; Regulator (Vigilante); Gang; Flathead,Lethal Violence; Non-Lethal Violence,3,6,,,
6,1849,1849/07,Illinois,Massac Co.,"Massac Co., Illinois",37.240106,-88.724884,"July: Regulators and Flatheads battle it out about 150 men engaged. Three men killed; two Flatheads, one Regulator.","Brumbaugh. ""Regulator Movement,"" p.55-56",Vigilante; Law; Gang,Vigilante; Regulator (Vigilante); Gang; Flathead,Vigilante; Regulator (Vigilante); Gang; Flathead,Lethal Violence,3,,,,
7,1849,1849/07,Iowa,Linn Co.,"Linn County, Iowa",42.06265,-91.60189,July: John Wilson killed for alleged horse theft,"Dubuque Weekly Miner's Express, July 25, 1849 as listed in Pfeifer, The Roots of Rough Justice.",Vigilante; Law; Gang,Vigilante,Alleged Criminal; Alleged Thief; Alleged Horse Thief,Lethal Violence,1,,,John Wilson,PTH
8,1849,1849/10,Pennsylvania,Philadelphia,Philadelphia,39.90153,-75.176711,"October: Post-election riot at the California House pub led to race fighting leaving several black and white people dead. Fire set to California House spread to several other buildings. Rioters fight firemen. Two firemen killed, one Irishman, and one black boy. At least nine whites and 16 blacks injured. African Americans attempted to fight back at California house and elsewhere. Militia called out to quell riot.","Feldsburg.Philadelpha Riots, p.5",Political; Racial; Firefighter; Ethnic/National; Religious,Irish; Catholic; Black; Firefighter; Youth,Irish; Catholic; Black; Firefighter; Youth,Lethal Violence; Property Destroyed,4,25,,,
9,1849,1849/12,California,California,California,36.065613,-118.674543,"December: Yankee miners drive a Chilean party out, hanged the major (??), whipped several others and cropped the ears of still others. At one point before these punishments, an American had been killed.",No source given,Racial; Law; Vigilante; Ethnic/National; Religious,American; Worker; Miner; Vigilante; Anglo,Chilean; Hispanic; Catholic,Lethal Violence; Non-Lethal Violence; Humiliation; Mutilation,1,,,,
10,1849,1849/07,Wisconsin,Chippewa Falls,Chippewa Falls,44.93583,-91.38937,July: Hanging of unnamed Native man for allegedly stabbing a lumberjack,"Western Historical Company, History of Northern Wisconsin (Chicago, 1881), 195 as listed in Pfeifer, The Roots of Rough Justice.",Vigilante; Law; Racial,Vigilante; White,Native; Alleged Criminal; Alleged Assailant,Lethal Violence,1,,,,PTH
